date,headline_1,paragraph_1,headline_2,paragraph_2,headline_3,paragraph_3,article_link,img_link
2025-09-06 12:59:00,"Many Cities Say Yes to Federal Police Help, but No to ‘Occupation’","Some officials said they would welcome more traditional law enforcement cooperation with federal agents, but see the National Guard as a step too far.",Grand Juries in D.C. Reject Wave of Charges Under Trump’s Crackdown,The persistent rejections suggest that the grand jurors may have had enough of prosecutors seeking harsh charges in a highly politicized environment.,Chicago Braces for a Surge of Federal Agents,,https://www.nytimes.com/2025/09/06/us/federal-law-enforcement-national-guard-policing.html,https://static01.nyt.com/images/2025/09/06/multimedia/06nat-fed-policing-cpqt/06nat-fed-policing-cpqt-threeByTwoMediumAt2X.jpg?format=pjpg&quality=75&auto=webp&disable=upscale
2025-09-06 12:59:00,How Trump’s Blunt-Force Diplomacy Is Pushing His Rivals Together,"Some of President Trump’s pressure tactics appear to have backfired, sending would-be allies into the embrace of China.","In India’s Rebound From Trump Blows, Modi Has No Easy Choices",The unraveling of relations has convinced many Indian officials that the country should return to its difficult balancing act of nonalignment.,Trump Says U.S. Military Has ‘Never Fought to Win’ Since World War II,,https://www.nytimes.com/2025/09/05/us/politics/trump-diplomacy-rivals.html,
2025-09-06 12:59:00,"At George Mason University, Trump Has Found an Unbending Adversary","Gregory Washington, George Mason’s first Black president, runs a university that prizes diversity. That has made him a target of the Trump administration.",What Has the Administration Gotten From Law Firms and Universities?,,Settlement Talks Stall Between Harvard and the Trump Administration,,https://www.nytimes.com/2025/09/06/us/george-mason-university-gregory-washington-trump-attack.html,
2025-09-06 12:59:00,"Thrust Into the Line of Fire, Iranians Worry About What Comes Next","We visited Tehran and talked to Iranians living in the aftermath of the 12-day war with Israel in June. Some want to strike back, others want to move on.",,,,,https://www.nytimes.com/2025/09/06/world/africa/thrust-into-the-line-of-fire-iranians-worry-about-what-comes-next.html,
2025-09-06 12:59:00,Israel Targets More Buildings in Gaza City and Warns Residents to Flee,,,,,,https://www.nytimes.com/2025/09/06/world/middleeast/israel-gaza-humanitarian.html,
2025-09-06 12:59:00,Did You Follow the News This Week? Take Our Quiz.,,"Play Flashback, Your Weekly History Quiz",,,,,
2025-09-06 12:59:00,Immigration Raid on Hyundai-LG Plant in Georgia Rattles South Korea,The shocked but subdued reaction to the arrest of hundreds of Koreans reflected the delicate position of a government engaged in tense trade talks with the U.S.,,,,,https://www.nytimes.com/2025/09/06/world/asia/immigration-raid-hyundai-lg-south-korea-georgia.html,https://static01.nyt.com/images/2025/09/05/multimedia/05xp-hyundai-qtgb/05xp-hyundai-qtgb-threeByTwoMediumAt2X.jpg?format=pjpg&quality=30&auto=webp&disable=upscale
2025-09-06 12:59:00,Humans Are Altering the Seas. Here’s What the Future Ocean Might Look Like.,"Some marine ecosystems could soon be unrecognizable, according to new research. We mapped the possibilities.",,,,,,
2025-09-06 12:59:00,How a Top Secret SEAL Team 6 Mission Into North Korea Fell Apart,"The 2019 operation, greenlit by President Trump, sought a strategic edge. It left unarmed North Koreans dead.",,,,,https://www.nytimes.com/2025/09/05/us/navy-seal-north-korea-trump-2019.html,
2025-09-06 12:59:00,,,,,,,,https://static01.nyt.com/images/2025/07/08/reader-center/author-patrick-healy-news/author-patrick-healy-news-thumbLarge.png?quality=75&auto=webp
2025-09-06 12:59:00,"Davey Johnson, Who Managed the Mets to a Surprising Title, Dies at 82","Before his triumph in the 1986 World Series, he had a long playing career and established himself as one of baseball’s brainier and more self-assured characters.",,,,,,
2025-09-06 12:59:00,Jannik Sinner and Carlos Alcaraz Each Took Their Own Path to the U.S. Open Final,"For the third time in a row at a Grand Slam, Jannik Sinner and Carlos Alcaraz will contest the final. The showdown was set after two very different matches.",World No. 1 Aryna Sabalenka Faces Amanda Anisimova in Women’s Final Today,,Can You Ace Our Tennis Quiz?,,https://www.nytimes.com/athletic/6601702/2025/09/06/us-open-semifinals-alcaraz-djokovic-sinner-auger-aliassime/,
