date,headline,link
2025-09-06 12:59:00,"Many Cities Say Yes to Federal Police Help, but No to ‘Occupation’",https://www.nytimes.com/2025/09/06/us/federal-law-enforcement-national-guard-policing.html
2025-09-06 12:59:00,Grand Juries in D.C. Reject Wave of Charges Under Trump’s Crackdown,https://www.nytimes.com/2025/09/06/us/trump-dc-national-guard-grand-juries-crime.html
2025-09-06 12:59:00,Chicago Braces for a Surge of Federal Agents,https://www.nytimes.com/2025/09/05/us/trump-immigration-chicago.html
2025-09-06 12:59:00,How Trump’s Blunt-Force Diplomacy Is Pushing His Rivals Together,https://www.nytimes.com/2025/09/05/us/politics/trump-diplomacy-rivals.html
2025-09-06 12:59:00,"In India’s Rebound From Trump Blows, Modi Has No Easy Choices",https://www.nytimes.com/2025/09/06/world/asia/india-modi-trump-united-states-relations.html
2025-09-06 12:59:00,Trump Says U.S. Military Has ‘Never Fought to Win’ Since World War II,https://www.nytimes.com/2025/09/05/us/politics/trump-military-wars.html
2025-09-06 12:59:00,"At George Mason University, Trump Has Found an Unbending Adversary",https://www.nytimes.com/2025/09/06/us/george-mason-university-gregory-washington-trump-attack.html
2025-09-06 12:59:00,What Has the Administration Gotten From Law Firms and Universities?,https://www.nytimes.com/interactive/2025/09/06/us/trump-deals-law-firms-universities-concessions.html
2025-09-06 12:59:00,Settlement Talks Stall Between Harvard and the Trump Administration,https://www.nytimes.com/2025/09/06/us/politics/harvard-trump-negotiations-stall.html
2025-09-06 12:59:00,"Thrust Into the Line of Fire, Iranians Worry About What Comes Next",https://www.nytimes.com/2025/09/06/world/africa/thrust-into-the-line-of-fire-iranians-worry-about-what-comes-next.html
2025-09-06 12:59:00,Israel Targets More Buildings in Gaza City and Warns Residents to Flee,https://www.nytimes.com/2025/09/06/world/middleeast/israel-gaza-humanitarian.html
2025-09-06 12:59:00,Did You Follow the News This Week? Take Our Quiz.,
2025-09-06 12:59:00,"Play Flashback, Your Weekly History Quiz",
2025-09-06 12:59:00,Immigration Raid on Hyundai-LG Plant in Georgia Rattles South Korea,https://www.nytimes.com/2025/09/06/world/asia/immigration-raid-hyundai-lg-south-korea-georgia.html
2025-09-06 12:59:00,Humans Are Altering the Seas. Here’s What the Future Ocean Might Look Like.,
2025-09-06 12:59:00,How a Top Secret SEAL Team 6 Mission Into North Korea Fell Apart,https://www.nytimes.com/2025/09/05/us/navy-seal-north-korea-trump-2019.html
2025-09-06 12:59:00,"Davey Johnson, Who Managed the Mets to a Surprising Title, Dies at 82",
2025-09-06 12:59:00,Jannik Sinner and Carlos Alcaraz Each Took Their Own Path to the U.S. Open Final,https://www.nytimes.com/athletic/6601702/2025/09/06/us-open-semifinals-alcaraz-djokovic-sinner-auger-aliassime/
2025-09-06 12:59:00,World No. 1 Aryna Sabalenka Faces Amanda Anisimova in Women’s Final Today,https://www.nytimes.com/athletic/live-blogs/us-open-2025-live-updates-womens-final-scores-result/tXLDqut2p9wM/
2025-09-06 12:59:00,Can You Ace Our Tennis Quiz?,https://www.nytimes.com/interactive/2025/09/04/arts/tennis-quiz-us-open.html
2025-09-06 12:59:00,Bernie Sanders Stumps for Zohran Mamdani in Bid to Energize Progressive Voters,https://www.nytimes.com/2025/09/06/nyregion/bernie-sanders-zohran-mamdani.html
2025-09-06 12:59:00,Adams Insists He’s Running for Mayor Despite Saudi Ambassadorship Talks,https://www.nytimes.com/2025/09/05/nyregion/eric-adams-saudi-arabia-ambassador.html
2025-09-06 12:59:00,Maureen DowdMen + Women + Apps = Bad Romance,https://www.nytimes.com/2025/09/06/opinion/men-women-apps-bad-romance.html
2025-09-06 12:59:00,"Jamelle Bouie, Michelle Cottle, David French and Vishakha DarbhaThree Opinion Writers on Whether Congress Can Rein in Trump",https://www.nytimes.com/2025/09/06/opinion/democrats-shutdown-congress-trump.html
2025-09-06 12:59:00,Ross DouthatWill Trump’s Imperial Presidency Last?,https://www.nytimes.com/2025/09/06/opinion/trump-caesar-imperial-presidency.html
2025-09-06 12:59:00,Offer Accepted,
2025-09-06 12:59:00,Norway’s Navy Gets a Big Boost With U.K. Ship Deal,https://www.nytimes.com/2025/09/06/world/europe/noway-uk-ship-deal.html
2025-09-06 12:59:00,Lightning Strikes California With Unusual Frequency This Summer,https://www.nytimes.com/2025/09/06/weather/california-lightning-weather.html
2025-09-06 12:59:00,"A Mysterious First Sister, Heard on Leaked Audio, Captivates Argentina",https://www.nytimes.com/2025/09/06/world/americas/javier-milei-karina-argentina-leaked-audio.html
2025-09-06 12:59:00,Americans’ Most Valuable Asset Isn’t Stocks or a Home. It’s Social Security.,https://www.nytimes.com/2025/09/05/business/social-security-wealth-benefits.html
2025-09-06 12:59:00,Play Connections: Sports Edition,
2025-09-06 12:59:00,Wordle,
2025-09-06 12:59:00,Connections,
2025-09-06 12:59:00,Pips,
2025-09-06 12:59:00,Spelling Bee,
2025-09-06 12:59:00,The Crossword,
2025-09-06 12:59:00,The Mini Crossword,
